Name,Index,KEGGID,FullName,Other,Lipid,Cofactor,Nucleotide,AminoAcid,CentralCarbon
10fthf[c],1,C00234,10_Formyltetrahydrofolate,0,1,0,1,0,0
13dpg[c],2,C00236,3_Phospho_D_glyceroyl_phosphate,0,0,0,0,0,1
15dap[c],3,C01672,1_5_Diaminopentane,0,0,0,0,1,0
1pyr5c[c],4,C03912,1_Pyrroline_5_carboxylate,0,0,0,0,1,0
23ddhb[c],5,C04171,2_3_Dihydro_2_3_dihydroxybenzoate,0,0,1,0,0,0
23dhb[c],6,C00196,2_3_Dihydroxybenzoate,0,0,1,0,0,0
23dhba[c],7,C04030,2_3_Dihydroxybenzoyl_adenylate,0,0,1,0,0,0
23dhdp[c],8,C03340,2_3_Dihydrodipicolinate,0,0,0,0,1,0
23dhmb[c],9,C04272,R__2_3_Dihydroxy_3_methylbutanoate,0,0,0,0,1,0
23dhmp[c],10,C06007,R__2_3_Dihydroxy_3_methylpentanoate,0,0,0,0,1,0
25aics[c],11,C04823,S__2_5_Amino_1__5_phospho_D_ribosyl_imidazole_4_carboxamidosuccinate,0,0,0,1,0,0
25drapp[c],12,C01304,2_5_Diamino_6__ribosylamino__4__3H__pyrimidinone_5__phosphate,0,0,1,0,0,0
26dap_LL[c],13,C00666,LL_2_6_Diaminoheptanedioate,0,0,0,0,1,0
26dap_M[c],14,C00680,meso_2_6_Diaminoheptanedioate,1,0,0,0,1,0
2ahbut[c],15,C06006,S__2_Aceto_2_hydroxybutanoate,0,0,0,0,1,0
2aobut[c],16,C03508,L_2_Amino_3_oxobutanoate,0,0,0,0,1,0
2cpr5p[c],17,C01302,1__2_Carboxyphenylamino__1_deoxy_D_ribulose_5_phosphate,0,0,0,0,1,0
2dda7p[c],18,C04691,2_Dehydro_3_deoxy_D_arabino_heptonate_7_phosphate,0,0,0,0,1,0
2ddg6p[c],19,C04442,2_Dehydro_3_deoxy_D_gluconate_6_phosphate,0,0,0,0,0,1
2dhp[c],20,C00966,2_Dehydropantoate,0,0,1,0,0,0
2dmmq8[c],21,C05818,2_Demethylmenaquinone_8,0,0,0,0,0,1
2dr1p[c],22,C00672,2_Deoxy_D_ribose_1_phosphate,0,0,0,1,0,0
2h3oppan[c],23,C01146,2_Hydroxy_3_oxopropanoate,0,0,0,0,0,1
2ippm[c],24,C02631,2_Isopropylmaleate,0,0,0,0,1,0
2mahmp[c],25,C04752,2_Methyl_4_amino_5_hydroxymethylpyrimidine_diphosphate,0,0,1,0,0,0
2me4p[c],26,C11434,2_C_methyl_D_erythritol_4_phosphate,0,0,1,0,0,0
2mecdp[c],27,C11453,2_C_methyl_D_erythritol_2_4_cyclodiphosphate,0,0,1,0,0,0
2obut[c],28,C00109,2_Oxobutanoate,0,0,0,0,1,0
2ohph[c],29,C05811,2_Octaprenyl_6_hydroxyphenol,0,0,1,0,0,0
2omph[c],30,C05812,2_Octaprenyl_6_methoxyphenol,0,0,1,0,0,0
2oph[c],31,C05810,2_Octaprenylphenol,0,0,1,0,0,0
2p4c2me[c],32,C11436,2_phospho_4__cytidine_5__diphospho__2_C_methyl_D_erythritol,0,0,1,0,0,0
2pg[c],33,C00631,D_Glycerate_2_phosphate,0,0,0,0,1,1
2shchc[c],34,C05817,2_Succinyl_6_hydroxy_2_4_cyclohexadiene_1_carboxylate,0,0,1,0,0,0
34hpp[c],35,C01179,3__4_Hydroxyphenyl_pyruvate,0,0,0,0,1,0
3c2hmp[c],36,C04411,3_Carboxy_2_hydroxy_4_methylpentanoate,0,0,0,0,1,0
3c3hmp[c],37,C02504,3_Carboxy_3_hydroxy_4_methylpentanoate,0,0,0,0,1,0
3c4mop[c],38,C04236,3_Carboxy_4_methyl_2_oxopentanoate,0,0,0,0,1,0
3dhq[c],39,C00944,3_Dehydroquinate,0,0,0,0,1,0
3dhsk[c],40,C02637,3_Dehydroshikimate,0,0,0,0,1,0
3hmrsACP[c],41,C04688,R__3_Hydroxytetradecanoyl_acyl_carrier_protein,1,1,0,0,0,0
3ig3p[c],42,C03506,C___3_Indolyl__glycerol_3_phosphate,0,0,0,0,1,0
3mob[c],43,C00141,3_Methyl_2_oxobutanoate,0,0,1,0,1,0
3mop[c],44,C00671,S__3_Methyl_2_oxopentanoate,0,0,0,0,1,0
